formula,cif
GeH4,"# generated using pymatgen
data_GeH4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.65000000
_cell_length_b   5.65000000
_cell_length_c   5.65000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GeH4
_chemical_formula_sum   'Ge4 H16'
_cell_volume   180.36212500
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge  Ge1  1  0.01200000  0.01200000  0.01200000  1.0
  Ge  Ge1  1  0.48800000  0.98800000  0.51200000  1.0
  Ge  Ge1  1  0.98800000  0.51200000  0.48800000  1.0
  Ge  Ge1  1  0.51200000  0.48800000  0.98800000  1.0
  H  H1  1  0.26700000  0.26700000  0.26700000  1.0
  H  H1  1  0.23300000  0.73300000  0.76700000  1.0
  H  H1  1  0.73300000  0.76700000  0.23300000  1.0
  H  H1  1  0.76700000  0.23300000  0.73300000  1.0
  H  H2  1  0.90500000  0.08500000  0.92500000  1.0
  H  H2  1  0.59500000  0.91500000  0.42500000  1.0
  H  H2  1  0.09500000  0.58500000  0.57500000  1.0
  H  H2  1  0.40500000  0.41500000  0.07500000  1.0
  H  H2  1  0.92500000  0.90500000  0.08500000  1.0
  H  H2  1  0.42500000  0.59500000  0.91500000  1.0
  H  H2  1  0.57500000  0.09500000  0.58500000  1.0
  H  H2  1  0.07500000  0.40500000  0.41500000  1.0
  H  H2  1  0.08500000  0.92500000  0.90500000  1.0
  H  H2  1  0.91500000  0.42500000  0.59500000  1.0
  H  H2  1  0.58500000  0.57500000  0.09500000  1.0
  H  H2  1  0.41500000  0.07500000  0.40500000  1.0
"
La2CuO4,"# generated using pymatgen
data_La2CuO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.78730000
_cell_length_b   3.78730000
_cell_length_c   13.28830000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La2CuO4
_chemical_formula_sum   'La4 Cu2 O8'
_cell_volume   190.60260855
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La1  1  0.00000000  0.00000000  0.36060000  1.0
  La  La1  1  0.00000000  0.00000000  0.63940000  1.0
  La  La1  1  0.50000000  0.50000000  0.86060000  1.0
  La  La1  1  0.50000000  0.50000000  0.13940000  1.0
  Cu  Cu1  1  0.00000000  0.00000000  0.00000000  1.0
  Cu  Cu1  1  0.50000000  0.50000000  0.50000000  1.0
  O  O1  1  0.00000000  0.50000000  0.00000000  1.0
  O  O1  1  0.50000000  0.00000000  0.00000000  1.0
  O  O1  1  0.50000000  0.00000000  0.50000000  1.0
  O  O1  1  0.00000000  0.50000000  0.50000000  1.0
  O  O2  1  0.00000000  0.00000000  0.18280000  1.0
  O  O2  1  0.00000000  0.00000000  0.81720000  1.0
  O  O2  1  0.50000000  0.50000000  0.68280000  1.0
  O  O2  1  0.50000000  0.50000000  0.31720000  1.0
"
Li3PS4,"# generated using pymatgen
data_Li3PS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.70800000
_cell_length_b   6.53500000
_cell_length_c   6.13600000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li3PS4
_chemical_formula_sum   'Li6 P2 S8'
_cell_volume   309.08124208
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.00000000  0.85400000  0.56300000  1.0
  Li  Li1  1  0.50000000  0.14600000  0.06300000  1.0
  Li  Li2  1  0.25000000  0.33300000  0.62500000  1.0
  Li  Li2  1  0.75000000  0.33300000  0.62500000  1.0
  Li  Li2  1  0.25000000  0.66700000  0.12500000  1.0
  Li  Li2  1  0.75000000  0.66700000  0.12500000  1.0
  P  P1  1  0.00000000  0.17740000  0.12500000  1.0
  P  P1  1  0.50000000  0.82260000  0.62500000  1.0
  S  S1  1  0.00000000  0.17700000  0.50000000  1.0
  S  S1  1  0.50000000  0.82300000  0.00000000  1.0
  S  S2  1  0.00000000  0.85400000  0.06300000  1.0
  S  S2  1  0.50000000  0.14600000  0.56300000  1.0
  S  S3  1  0.27200000  0.33300000  0.12500000  1.0
  S  S3  1  0.72800000  0.33300000  0.12500000  1.0
  S  S3  1  0.22800000  0.66700000  0.62500000  1.0
  S  S3  1  0.77200000  0.66700000  0.62500000  1.0
"
LiBF4,"# generated using pymatgen
data_LiBF4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.18220000
_cell_length_b   5.18220000
_cell_length_c   12.63630000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiBF4
_chemical_formula_sum   'Li3 B3 F12'
_cell_volume   293.88600122
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.68600000  0.00000000  0.83330000  1.0
  Li  Li1  1  0.00000000  0.68600000  0.16663333  1.0
  Li  Li1  1  0.31400000  0.31400000  0.49996667  1.0
  B  B1  1  0.29500000  0.00000000  0.33333333  1.0
  B  B1  1  0.00000000  0.29500000  0.66666667  1.0
  B  B1  1  0.70500000  0.70500000  0.00000000  1.0
  F  F1  1  0.08650000  0.10680000  0.27110000  1.0
  F  F1  1  0.89320000  0.97970000  0.60443333  1.0
  F  F1  1  0.02030000  0.91350000  0.93776667  1.0
  F  F1  1  0.10680000  0.08650000  0.72890000  1.0
  F  F1  1  0.97970000  0.89320000  0.39556667  1.0
  F  F1  1  0.91350000  0.02030000  0.06223333  1.0
  F  F2  1  0.40450000  0.29260000  0.39860000  1.0
  F  F2  1  0.70740000  0.11190000  0.73193333  1.0
  F  F2  1  0.88810000  0.59550000  0.06526667  1.0
  F  F2  1  0.29260000  0.40450000  0.60140000  1.0
  F  F2  1  0.11190000  0.70740000  0.26806667  1.0
  F  F2  1  0.59550000  0.88810000  0.93473333  1.0
"
LiCoO2,"# generated using pymatgen
data_LiCoO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.81500000
_cell_length_b   2.81500000
_cell_length_c   14.05000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiCoO2
_chemical_formula_sum   'Li3 Co3 O6'
_cell_volume   96.41925118
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.00000000  0.00000000  0.00000000  1.0
  Li  Li1  1  0.66666667  0.33333333  0.33333333  1.0
  Li  Li1  1  0.33333333  0.66666667  0.66666667  1.0
  Co  Co1  1  0.00000000  0.00000000  0.50000000  1.0
  Co  Co1  1  0.66666667  0.33333333  0.83333333  1.0
  Co  Co1  1  0.33333333  0.66666667  0.16666667  1.0
  O  O1  1  0.00000000  0.00000000  0.24000000  1.0
  O  O1  1  0.00000000  0.00000000  0.76000000  1.0
  O  O1  1  0.66666667  0.33333333  0.57333333  1.0
  O  O1  1  0.66666667  0.33333333  0.09333333  1.0
  O  O1  1  0.33333333  0.66666667  0.90666667  1.0
  O  O1  1  0.33333333  0.66666667  0.42666667  1.0
"
LiFePO4,"# generated using pymatgen
data_LiFePO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.32300000
_cell_length_b   6.00300000
_cell_length_c   4.69300000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiFePO4
_chemical_formula_sum   'Li4 Fe4 P4 O16'
_cell_volume   290.82037152
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.00000000  0.00000000  0.00000000  1.0
  Li  Li1  1  0.50000000  0.00000000  0.50000000  1.0
  Li  Li1  1  0.00000000  0.50000000  0.00000000  1.0
  Li  Li1  1  0.50000000  0.50000000  0.50000000  1.0
  Fe  Fe1  1  0.28220000  0.25000000  0.97470000  1.0
  Fe  Fe1  1  0.21780000  0.75000000  0.47470000  1.0
  Fe  Fe1  1  0.71780000  0.75000000  0.02530000  1.0
  Fe  Fe1  1  0.78220000  0.25000000  0.52530000  1.0
  P  P1  1  0.09480000  0.25000000  0.41820000  1.0
  P  P1  1  0.40520000  0.75000000  0.91820000  1.0
  P  P1  1  0.90520000  0.75000000  0.58180000  1.0
  P  P1  1  0.59480000  0.25000000  0.08180000  1.0
  O  O1  1  0.09680000  0.25000000  0.74280000  1.0
  O  O1  1  0.40320000  0.75000000  0.24280000  1.0
  O  O1  1  0.90320000  0.75000000  0.25720000  1.0
  O  O1  1  0.59680000  0.25000000  0.75720000  1.0
  O  O2  1  0.45710000  0.25000000  0.20600000  1.0
  O  O2  1  0.04290000  0.75000000  0.70600000  1.0
  O  O2  1  0.54290000  0.75000000  0.79400000  1.0
  O  O2  1  0.95710000  0.25000000  0.29400000  1.0
  O  O3  1  0.16550000  0.04640000  0.28460000  1.0
  O  O3  1  0.33450000  0.95360000  0.78460000  1.0
  O  O3  1  0.83450000  0.54640000  0.71540000  1.0
  O  O3  1  0.66550000  0.45360000  0.21540000  1.0
  O  O3  1  0.83450000  0.95360000  0.71540000  1.0
  O  O3  1  0.66550000  0.04640000  0.21540000  1.0
  O  O3  1  0.16550000  0.45360000  0.28460000  1.0
  O  O3  1  0.33450000  0.54640000  0.78460000  1.0
"
LiPF6,"# generated using pymatgen
data_LiPF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.93200000
_cell_length_b   4.93200000
_cell_length_c   12.65800000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiPF6
_chemical_formula_sum   'Li3 P3 F18'
_cell_volume   266.65016631
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li1  1  0.00000000  0.00000000  0.50000000  1.0
  Li  Li1  1  0.66666667  0.33333333  0.83333333  1.0
  Li  Li1  1  0.33333333  0.66666667  0.16666667  1.0
  P  P1  1  0.00000000  0.00000000  0.00000000  1.0
  P  P1  1  0.66666667  0.33333333  0.33333333  1.0
  P  P1  1  0.33333333  0.66666667  0.66666667  1.0
  F  F1  1  0.11500000  0.36500000  0.07500000  1.0
  F  F1  1  0.63500000  0.75000000  0.07500000  1.0
  F  F1  1  0.25000000  0.88500000  0.07500000  1.0
  F  F1  1  0.88500000  0.63500000  0.92500000  1.0
  F  F1  1  0.36500000  0.25000000  0.92500000  1.0
  F  F1  1  0.75000000  0.11500000  0.92500000  1.0
  F  F1  1  0.78166667  0.69833333  0.40833333  1.0
  F  F1  1  0.30166667  0.08333333  0.40833333  1.0
  F  F1  1  0.91666667  0.21833333  0.40833333  1.0
  F  F1  1  0.55166667  0.96833333  0.25833333  1.0
  F  F1  1  0.03166667  0.58333333  0.25833333  1.0
  F  F1  1  0.41666667  0.44833333  0.25833333  1.0
  F  F1  1  0.44833333  0.03166667  0.74166667  1.0
  F  F1  1  0.96833333  0.41666667  0.74166667  1.0
  F  F1  1  0.58333333  0.55166667  0.74166667  1.0
  F  F1  1  0.21833333  0.30166667  0.59166667  1.0
  F  F1  1  0.69833333  0.91666667  0.59166667  1.0
  F  F1  1  0.08333333  0.78166667  0.59166667  1.0
"
MgB7,"# generated using pymatgen
data_MgB7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.97000000
_cell_length_b   8.12500000
_cell_length_c   5.19800000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgB7
_chemical_formula_sum   'Mg4 B28'
_cell_volume   252.13548750
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg1  1  0.00000000  0.25000000  0.36830000  1.0
  Mg  Mg1  1  0.00000000  0.75000000  0.63170000  1.0
  Mg  Mg1  1  0.50000000  0.75000000  0.86830000  1.0
  Mg  Mg1  1  0.50000000  0.25000000  0.13170000  1.0
  B  B1  1  0.00000000  0.25000000  0.79300000  1.0
  B  B1  1  0.00000000  0.75000000  0.20700000  1.0
  B  B1  1  0.50000000  0.75000000  0.29300000  1.0
  B  B1  1  0.50000000  0.25000000  0.70700000  1.0
  B  B2  1  0.00000000  0.06730000  0.09800000  1.0
  B  B2  1  0.00000000  0.43270000  0.09800000  1.0
  B  B2  1  0.00000000  0.56730000  0.90200000  1.0
  B  B2  1  0.00000000  0.93270000  0.90200000  1.0
  B  B2  1  0.50000000  0.56730000  0.59800000  1.0
  B  B2  1  0.50000000  0.93270000  0.59800000  1.0
  B  B2  1  0.50000000  0.06730000  0.40200000  1.0
  B  B2  1  0.50000000  0.43270000  0.40200000  1.0
  B  B3  1  0.17100000  0.25000000  0.08600000  1.0
  B  B3  1  0.82900000  0.25000000  0.08600000  1.0
  B  B3  1  0.82900000  0.75000000  0.91400000  1.0
  B  B3  1  0.17100000  0.75000000  0.91400000  1.0
  B  B3  1  0.67100000  0.75000000  0.58600000  1.0
  B  B3  1  0.32900000  0.75000000  0.58600000  1.0
  B  B3  1  0.32900000  0.25000000  0.41400000  1.0
  B  B3  1  0.67100000  0.25000000  0.41400000  1.0
  B  B4  1  0.00000000  0.57500000  0.25000000  1.0
  B  B4  1  0.00000000  0.92500000  0.25000000  1.0
  B  B4  1  0.00000000  0.07500000  0.75000000  1.0
  B  B4  1  0.00000000  0.42500000  0.75000000  1.0
  B  B4  1  0.50000000  0.07500000  0.75000000  1.0
  B  B4  1  0.50000000  0.42500000  0.75000000  1.0
  B  B4  1  0.50000000  0.57500000  0.25000000  1.0
  B  B4  1  0.50000000  0.92500000  0.25000000  1.0
"
Nd2Fe14B,"# generated using pymatgen
data_Nd2Fe14B
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.80000000
_cell_length_b   8.80000000
_cell_length_c   12.20000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nd2Fe14B
_chemical_formula_sum   'Nd8 Fe56 B4'
_cell_volume   944.76800000
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd1  1  0.26800000  0.26800000  0.00000000  1.0
  Nd  Nd1  1  0.73200000  0.73200000  0.00000000  1.0
  Nd  Nd1  1  0.76800000  0.23200000  0.50000000  1.0
  Nd  Nd1  1  0.23200000  0.76800000  0.50000000  1.0
  Nd  Nd2  1  0.14000000  0.86000000  0.00000000  1.0
  Nd  Nd2  1  0.86000000  0.14000000  0.00000000  1.0
  Nd  Nd2  1  0.64000000  0.64000000  0.50000000  1.0
  Nd  Nd2  1  0.36000000  0.36000000  0.50000000  1.0
  Fe  Fe1  1  0.22300000  0.56700000  0.12700000  1.0
  Fe  Fe1  1  0.77700000  0.43300000  0.12700000  1.0
  Fe  Fe1  1  0.72300000  0.93300000  0.62700000  1.0
  Fe  Fe1  1  0.27700000  0.06700000  0.62700000  1.0
  Fe  Fe1  1  0.77700000  0.43300000  0.87300000  1.0
  Fe  Fe1  1  0.22300000  0.56700000  0.87300000  1.0
  Fe  Fe1  1  0.27700000  0.06700000  0.37300000  1.0
  Fe  Fe1  1  0.72300000  0.93300000  0.37300000  1.0
  Fe  Fe1  1  0.56700000  0.22300000  0.87300000  1.0
  Fe  Fe1  1  0.43300000  0.77700000  0.87300000  1.0
  Fe  Fe1  1  0.06700000  0.27700000  0.37300000  1.0
  Fe  Fe1  1  0.93300000  0.72300000  0.37300000  1.0
  Fe  Fe1  1  0.43300000  0.77700000  0.12700000  1.0
  Fe  Fe1  1  0.56700000  0.22300000  0.12700000  1.0
  Fe  Fe1  1  0.93300000  0.72300000  0.62700000  1.0
  Fe  Fe1  1  0.06700000  0.27700000  0.62700000  1.0
  Fe  Fe2  1  0.03700000  0.35900000  0.17500000  1.0
  Fe  Fe2  1  0.96300000  0.64100000  0.17500000  1.0
  Fe  Fe2  1  0.53700000  0.14100000  0.67500000  1.0
  Fe  Fe2  1  0.46300000  0.85900000  0.67500000  1.0
  Fe  Fe2  1  0.96300000  0.64100000  0.82500000  1.0
  Fe  Fe2  1  0.03700000  0.35900000  0.82500000  1.0
  Fe  Fe2  1  0.46300000  0.85900000  0.32500000  1.0
  Fe  Fe2  1  0.53700000  0.14100000  0.32500000  1.0
  Fe  Fe2  1  0.35900000  0.03700000  0.82500000  1.0
  Fe  Fe2  1  0.64100000  0.96300000  0.82500000  1.0
  Fe  Fe2  1  0.85900000  0.46300000  0.32500000  1.0
  Fe  Fe2  1  0.14100000  0.53700000  0.32500000  1.0
  Fe  Fe2  1  0.64100000  0.96300000  0.17500000  1.0
  Fe  Fe2  1  0.35900000  0.03700000  0.17500000  1.0
  Fe  Fe2  1  0.14100000  0.53700000  0.67500000  1.0
  Fe  Fe2  1  0.85900000  0.46300000  0.67500000  1.0
  Fe  Fe3  1  0.09700000  0.09700000  0.20400000  1.0
  Fe  Fe3  1  0.90300000  0.90300000  0.20400000  1.0
  Fe  Fe3  1  0.59700000  0.40300000  0.70400000  1.0
  Fe  Fe3  1  0.40300000  0.59700000  0.70400000  1.0
  Fe  Fe3  1  0.90300000  0.90300000  0.79600000  1.0
  Fe  Fe3  1  0.09700000  0.09700000  0.79600000  1.0
  Fe  Fe3  1  0.40300000  0.59700000  0.29600000  1.0
  Fe  Fe3  1  0.59700000  0.40300000  0.29600000  1.0
  Fe  Fe4  1  0.31700000  0.31700000  0.24600000  1.0
  Fe  Fe4  1  0.68300000  0.68300000  0.24600000  1.0
  Fe  Fe4  1  0.81700000  0.18300000  0.74600000  1.0
  Fe  Fe4  1  0.18300000  0.81700000  0.74600000  1.0
  Fe  Fe4  1  0.68300000  0.68300000  0.75400000  1.0
  Fe  Fe4  1  0.31700000  0.31700000  0.75400000  1.0
  Fe  Fe4  1  0.18300000  0.81700000  0.25400000  1.0
  Fe  Fe4  1  0.81700000  0.18300000  0.25400000  1.0
  Fe  Fe5  1  0.00000000  0.00000000  0.11400000  1.0
  Fe  Fe5  1  0.50000000  0.50000000  0.61400000  1.0
  Fe  Fe5  1  0.00000000  0.00000000  0.88600000  1.0
  Fe  Fe5  1  0.50000000  0.50000000  0.38600000  1.0
  Fe  Fe6  1  0.00000000  0.50000000  0.00000000  1.0
  Fe  Fe6  1  0.50000000  0.00000000  0.50000000  1.0
  Fe  Fe6  1  0.50000000  0.00000000  0.00000000  1.0
  Fe  Fe6  1  0.00000000  0.50000000  0.50000000  1.0
  B  B1  1  0.37100000  0.62900000  0.00000000  1.0
  B  B1  1  0.62900000  0.37100000  0.00000000  1.0
  B  B1  1  0.87100000  0.87100000  0.50000000  1.0
  B  B1  1  0.12900000  0.12900000  0.50000000  1.0
"
Si3N4,"# generated using pymatgen
data_Si3N4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.60800000
_cell_length_b   7.60800000
_cell_length_c   2.91070000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Si3N4
_chemical_formula_sum   'Si6 N8'
_cell_volume   145.90463398
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Si  Si1  1  0.17330000  0.76940000  0.25000000  1.0
  Si  Si1  1  0.59610000  0.82670000  0.25000000  1.0
  Si  Si1  1  0.23060000  0.40390000  0.25000000  1.0
  Si  Si1  1  0.82670000  0.23060000  0.75000000  1.0
  Si  Si1  1  0.40390000  0.17330000  0.75000000  1.0
  Si  Si1  1  0.76940000  0.59610000  0.75000000  1.0
  N  N1  1  0.33333333  0.66666667  0.25000000  1.0
  N  N1  1  0.66666667  0.33333333  0.75000000  1.0
  N  N2  1  0.32940000  0.03130000  0.25000000  1.0
  N  N2  1  0.70190000  0.67060000  0.25000000  1.0
  N  N2  1  0.96870000  0.29810000  0.25000000  1.0
  N  N2  1  0.67060000  0.96870000  0.75000000  1.0
  N  N2  1  0.29810000  0.32940000  0.75000000  1.0
  N  N2  1  0.03130000  0.70190000  0.75000000  1.0
"
SiO2,"# generated using pymatgen
data_SiO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.91340000
_cell_length_b   4.91340000
_cell_length_c   5.40520000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SiO
_chemical_formula_sum   'Si6 O6'
_cell_volume   113.00733747
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Si  Si0  1  0.46970000  0.00000000  0.00000000  1.0
  Si  Si1  1  0.00000000  0.46970000  0.33333333  1.0
  Si  Si2  1  0.53030000  0.53030000  0.66666667  1.0
  Si  Si3  1  0.00000000  0.46970000  0.00000000  1.0
  Si  Si4  1  0.53030000  0.53030000  0.33333333  1.0
  Si  Si5  1  0.46970000  0.00000000  0.66666667  1.0
  O  O6  1  0.41350000  0.26690000  0.11910000  1.0
  O  O7  1  0.73310000  0.14660000  0.45243333  1.0
  O  O8  1  0.85340000  0.58650000  0.78576667  1.0
  O  O9  1  0.26690000  0.41350000  0.88090000  1.0
  O  O10  1  0.58650000  0.85340000  0.21423333  1.0
  O  O11  1  0.14660000  0.73310000  0.54756667  1.0
"
SrTiO3,"# generated using pymatgen
data_SrTiO5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.90500000
_cell_length_b   3.90500000
_cell_length_c   3.90500000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrTiO5
_chemical_formula_sum   'Sr1 Ti1 O5'
_cell_volume   59.54744262
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr1  1  0.00000000  0.00000000  0.00000000  1.0
  Ti  Ti1  1  0.50000000  0.50000000  0.50000000  1.0
  O  O1  1  0.50000000  0.50000000  0.00000000  1.0
  O  O1  1  0.00000000  0.50000000  0.50000000  1.0
  O  O1  1  0.00000000  0.50000000  0.00000000  1.0
  O  O1  1  0.50000000  0.00000000  0.50000000  1.0
  O  O1  1  0.50000000  0.00000000  0.00000000  1.0
"
TiO2,"# generated using pymatgen
data_TiO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.59370000
_cell_length_b   4.59370000
_cell_length_c   2.95870000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiO2
_chemical_formula_sum   'Ti2 O4'
_cell_volume   62.43472318
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti1  1  0.00000000  0.00000000  0.00000000  1.0
  Ti  Ti1  1  0.50000000  0.50000000  0.50000000  1.0
  O  O1  1  0.30480000  0.30480000  0.00000000  1.0
  O  O1  1  0.69520000  0.69520000  0.00000000  1.0
  O  O1  1  0.19520000  0.80480000  0.50000000  1.0
  O  O1  1  0.80480000  0.19520000  0.50000000  1.0
"
